question,answer,chunk_id,topic,dataset_type
ダンサーがお気に入りのバレエとして挙げている、バランシンやロビンズの振付作品にはどのようなものがありますか？,バランシン振付の『ストラヴィンスキー・ヴァイオリン協奏曲』、『ピアノとオーケストラのためのムーヴメンツ』、『アゴン』といった白黒バレエや、ロビンズ振付の『ア・ダンス・アット・ア・ギャザリング』などがお気に入りとして挙げられています。,cc_news_2per_gemini_chunk_5,Favorite ballets,cc_news_2per_gemini_chunks
話者が約20年在籍したカンパニーでの最も特別な思い出と、ステージ上で得られる感覚について教えてください。,最も特別な思い出は、友人やダンスパートナーとステージを共にした時間です。ステージ上では、素晴らしい信頼感や自発性が生まれ、お互いに深くつながっていると感じることができます。これは話者にとって決して忘れられない経験となっています。,cc_news_2per_gemini_chunk_6,特別な思い出と信頼感,cc_news_2per_gemini_chunks
キャリアが進みプリンシパルなどになるにつれて、若手ダンサー（コールドバレー）との関係性や自身の意識はどのように変化しましたか？,年齢を重ねるにつれてカンパニーが若く感じられるようになり、コールドバレーのダンサーとの関係が変化しました。若いダンサーから憧れられる存在になりたいと思うようになり、彼らとより深くつながり、サポートやアドバイスを提供したいと考えるようになりました。,cc_news_2per_gemini_chunk_7,意識と関係性の変化,cc_news_2per_gemini_chunks
話し手が会社に留まる意思を正式に相談したのはいつ頃で、ピーター・マーティンスに相談した際の彼の反応はどのようなものでしたか？,話し手が会社に留まる意思を正式に相談したのは1年前です。ピーター・マーティンスにその考えを伝えたところ、彼はそれを「素晴らしいアイデアだ」と好意的に受け止めました。,cc_news_2per_gemini_chunk_9,相談時期と反応,cc_news_2per_gemini_chunks
新しい役割において、最も楽しみにしていることは何ですか？,ダンサーたちの才能を育成すること、そして素晴らしいレパートリー作品を新しいダンサーたちと共に未来へと引き継いでいくことです。,cc_news_2per_gemini_chunk_10,New role expectations,cc_news_2per_gemini_chunks
テキストにおいて、Karin von AroldingenとSusan Hendlの指導・メンターシップスタイルはどのように評価されていますか？,Karin von Aroldingenは作品に対する不滅の情熱を持っており、それが大きな刺激となっています。一方、Susan Hendlは、ダンサー一人ひとりが持つユニークな特質や女性らしさを引き出す素晴らしい才能を持っていると評価されています。,cc_news_2per_gemini_chunk_11,Mentorship style in ballet,cc_news_2per_gemini_chunks
バレエから離れて時間ができた後、具体的にどのような活動を楽しみにしていますか？,市内の美術館を巡って一日中歩き回りインスピレーションを得ることや、大好きな料理をたくさん作ってディナーパーティーを開催することを楽しみにしています。現役時代は休日に立ち続けることを避けていましたが、今後はその心配がなくなります。,cc_news_2per_gemini_chunk_12,バレエ後の活動,cc_news_2per_gemini_chunks
バレエが若いダンサーに植え付ける、将来ダンスを続けるかどうかにかかわらず非常に価値のある資質とは何ですか？,バレエがもたらす「規律（ディシプリン）」です。バレエのレッスンで毎日教わるこの規律は、将来ダンスを続けるか、あるいは他の異なる道に進むかに関わらず、人間にとって非常に価値のある貴重な資質となります。,cc_news_2per_gemini_chunk_14,バレエの規律,cc_news_2per_gemini_chunks
体調が優れない日や体がうまく動かない日がある若いダンサーに対して、どのような心構えを持つことが勧められていますか？,毎日を新しいスタートとして捉えることです。日によって体の状態や気分は異なりますが、毎日を新鮮な気持ちでリセットし、前向きに前進し続けることが大切であると勧められています。,cc_news_2per_gemini_chunk_14,毎日の新しいスタート,cc_news_2per_gemini_chunks
ロイ・カイザー（Roy Kaiser）が新たに芸術監督に就任したバレエ団と、その就任に関する詳細について教えてください。,ロイ・カイザーは、ジェームズ・キャンフィールドの後任として、ラスベガスを拠点とするネバダ・バレエ・シアター（NBT）の新しい芸術監督に就任しました。カイザーは、NBTの46年の歴史において4代目の芸術監督となります。,cc_news_2per_gemini_chunk_15,芸術監督就任,cc_news_2per_gemini_chunks
ロイ・カイザーのペンシルベニア・バレエ団における経歴と主な実績は何ですか？,カイザーはペンシルベニア・バレエ団でプリンシパルダンサーに昇格後、バレエマスターを経て1995年に芸術監督に就任しました。彼の指導のもと、同バレエ団はレパートリーに90の新しいバレエと35の世界初演作品を追加しました。,cc_news_2per_gemini_chunk_15,経歴と実績,cc_news_2per_gemini_chunks
ネバダ・バレエ・シアター（NBT）の規模と、今後の公演スケジュールについて教えてください。,NBTはネバダ州最大のプロバレエ団・ダンスアカデミーで、35人のダンサーを擁します。今週末にはシルク・ドゥ・ソレイユとのコラボ公演「A Choreographer's Showcase」の10周年記念公演が開幕し、11月には「Classic Americana」公演が予定されています。,cc_news_2per_gemini_chunk_15,規模と公演予定,cc_news_2per_gemini_chunks
ピーター・マーティンズ氏の退任後、ニューヨーク・シティ・バレエ（NYCB）のダンサーたちはどのような不安や不確実性に直面していましたか？,ダンサーたちは、新しいディレクターが誰になりいつ決まるのか、自分たちの意見は反映されるのか、バランシン・バレエの監督や配役は誰が担当するのか、組織の激変や失業の可能性があるのかといった不安を抱いていました。彼らには今後の計画に関する情報がほとんど知らされていませんでした。,cc_news_2per_gemini_chunk_16,ダンサーの不安と不確実性,cc_news_2per_gemini_chunks
ドレスリハーサル、特にバランシン・バレエにおいて、ピーター・マーティンズ氏の不在はどのような影響を与えており、生前彼はどのような役割を果たしていましたか？,マーティンズ氏は日々のリハーサルには滅多に参加しませんでしたが、本番前の最終リハーサルを常に監督していました。バランシン自身から得た知恵を共有し、難しいパートナーリングやターンの修正を指導する役割を担っていたため、彼の不在はドレスリハーサルの現場で最も強く感じられています。,cc_news_2per_gemini_chunk_16,ドレスリハーサルへの影響,cc_news_2per_gemini_chunks
E. T. A. ホフマンが1816年に執筆したオリジナルの『くるみ割り人形とネズミの王様』は、どのような雰囲気の作品でしたか？,ドイツの作家E. T. A. ホフマンが執筆したオリジナルの『くるみ割り人形とネズミの王様』は、不気味でダークな雰囲気を持つ物語でした。,cc_news_2per_gemini_chunk_17,原作の雰囲気,cc_news_2per_gemini_chunks
アレクサンドル・デュマによる『くるみ割り人形』の翻案には、どのような特徴がありますか？,フランスの作家アレクサンドル・デュマによる翻案は、原作から約30年後に書かれ、物語全体のトーンを明るくし、登場人物の描写を和らげた（ソフトにした）という特徴があります。,cc_news_2per_gemini_chunk_17,デュマによる翻案,cc_news_2per_gemini_chunks
主人公の名前が「マリー・シュタールバウム」から「クララ・ジルバーハウス」に変更されたことには、どのような象徴的な意味がありますか？,「シュタールバウム（鋼鉄の木）」は主人公を取り巻く抑圧的な家族を象徴し、彼女の想像力を刺激しました。一方で、変更後の「ジルバーハウス（銀の家）」は、輝く魔法に満ちた壮大な家を象徴しており、主人公の名前をより明るいものにする意図がありました。,cc_news_2per_gemini_chunk_17,名前変更の象徴性,cc_news_2per_gemini_chunks
1892年にマリインスキー劇場で行われた『くるみ割り人形』初演の「雪の精」オリジナルキャスト写真は、誰によって撮影され、どこのアーカイブから提供されたものですか？,この写真はウォルター・E・オーウェン（Walter E. Owen）によって撮影されたもので、ダンス・マガジン・アーカイブ（Dance Magazine Archives）から提供されています。,cc_news_2per_gemini_chunk_18,オリジナルキャスト写真,cc_news_2per_gemini_chunks
1892年の『くるみ割り人形』初演において、制作陣であるプティパ、チャイコフスキー、イワノフはそれぞれどのような役割を果たし、どのような交代劇がありましたか？,作曲はチャイコフスキーが担当し、当初はマリウス・プティパが振付を行っていました。しかし、プティパが振付の途中で病に倒れたため、アシスタントのレフ・イワノフにその任務が引き継がれ、マリインスキー劇場での初演へと至りました。,cc_news_2per_gemini_chunk_19,初演の制作陣と交代,cc_news_2per_gemini_chunks
1892年の初演当時、批評家やバレエファンが『くるみ割り人形』に対して下した否定的な評価とその理由について教えてください。,当時のバレエファンは作品が不均等であると感じ、第1幕に主役のバレリーナがいないことを嘆きました。また、多くの批評家などは、歴史に基づいた物語に比べて『くるみ割り人形』のストーリーが軽すぎる点を否定的に評価しました。,cc_news_2per_gemini_chunk_19,初演時の否定的評価,cc_news_2per_gemini_chunks
ロシア革命は『くるみ割り人形』の上演にどのような影響を与えましたか？また、1934年にロンドンで行われたロシア国外初の主要な上演はどのように実現したか教えてください。,ロシア革命によりダンサーが散り散りになり公演は稀になりました。その後1934年に、元マリインスキー・バレエマスターのニコラス・セルゲイエフが、不完全で読みにくいオリジナルの記譜法をもとにヴィック・ウェルズ・バレエで作品を再現し、ロシア国外初の主要な上演を実現させました。,cc_news_2per_gemini_chunk_19,ロシア革命と国外初演,cc_news_2per_gemini_chunks
Ballet Russe de Monte Carloが『くるみ割り人形（The Nutcracker）』の短縮版をアメリカで初演したのは何年ですか？,Ballet Russe de Monte Carloが『くるみ割り人形』の短縮版をアメリカで初演したのは1940年です。その後10年間にわたり、同劇団はこのバレエの巡回公演を精力的に行い、全米の観客に広めました。,cc_news_2per_gemini_chunk_20,The Nutcracker US premiere,cc_news_2per_gemini_chunks
アメリカで最初の全幕版『くるみ割り人形』を振り付けた人物は誰ですか？また、彼は当時どのバレエ団の芸術監督でしたか？,アメリカ初の全幕版『くるみ割り人形』を振り付けたのはウィリアム・クリステンセン（Willam Christensen）です。彼は当時、サンフランシスコ・バレエ（San Francisco Ballet）の創設芸術監督を務めていました。,cc_news_2per_gemini_chunk_22,Willam Christensen,cc_news_2per_gemini_chunks
ウィリアム・クリステンセンが後に創設したバレエ団の名前と、そのバレエ団における『くるみ割り人形』の上演について教えてください。,彼が後に創設したのは「バレエ・ウエスト（Ballet West）」です。このバレエ団では、現在も毎年彼のバージョンの『くるみ割り人形』を上演し続けています。,cc_news_2per_gemini_chunk_22,Ballet West,cc_news_2per_gemini_chunks
ジョージ・バランシンは、『くるみ割り人形』をクリスマスの定番として定着させる上でどのような役割を果たしましたか？,バランシンは、この作品をホリデーシーズンと決定的に結びつけた最初の人物とされています。批評家のロバート・グレスコヴィックは、彼が『くるみ割り人形』をクリスマスシーズンおよびバレエ団のレパートリーの定番にした立役者であると述べています。,cc_news_2per_gemini_chunk_23,バランシンの役割,cc_news_2per_gemini_chunks
ニューヨーク・シティ・バレエ（NYCB）におけるバランシン版『くるみ割り人形』の初演時期と、それが12月に変更された経緯を教えてください。,NYCBは1954年2月にバランシン版を初演しました。しかし、同バレエ団はそのホリデーシーズンにおける魅力をすぐに認識したため、翌年には公演時期を12月に変更しました。,cc_news_2per_gemini_chunk_23,公演時期の変更,cc_news_2per_gemini_chunks
バレエ団にとって『くるみ割り人形』は、文化面および財政面でどのような重要性を持っていますか？,文化面では、毎年家族が訪れるホリデーの伝統としてバレエを主流文化に維持する役割を担っています。財政面では、全国のバレエ団の財政的バックボーンとなっており、その収益によって年間を通じて独創的で最先端の作品を上演することが可能になります。,cc_news_2per_gemini_chunk_24,文化・財政的重要性,cc_news_2per_gemini_chunks
ジョフリー・バレエとワシントン・バレエによる『くるみ割り人形』の地域的なアレンジの特徴をそれぞれ教えてください。,ジョフリー・バレエは1893年のシカゴ万国博覧会を舞台に設定しています。一方、ワシントン・バレエはアメリカの歴史を取り入れており、ジョージ・ワシントンや国王ジョージ3世といった歴史上の人物をキャラクターとして登場させています。,cc_news_2per_gemini_chunk_24,地域的なアレンジ,cc_news_2per_gemini_chunks
1892年のオリジナルシナリオにおける『くるみ割り人形』に関する歴史的なトリビアとは何ですか？,ダンス歴史家のダグ・フルイントンによると、1892年のオリジナルシナリオでは、くるみ割り人形には2人の姉妹がいました。彼女たちは「お菓子の国」で、クララを温かいハグで親切に迎え入れるという設定になっていました。,cc_news_2per_gemini_chunk_24,歴史的トリビア,cc_news_2per_gemini_chunks
Candy Cane variationのオリジナルの振付師と、その踊りに使用されている音楽は何ですか？,オリジナルの振付師は1892年にこの踊りを踊ったアレクサンドル・シリアエフ（Alexandre Shiryaev）であり、音楽にはロシアのトレパック（Russian Trepak）の曲が使用されています。,cc_news_2per_gemini_chunk_25,振付師と音楽,cc_news_2per_gemini_chunks
アレクサンドル・シリアエフは、手描きアニメーションを用いてどのようにダンスを記録しましたか？,シリアエフは連続した絵を描くことで自身の振付を記録しました。この絵は投影することでダンスの動きを実際に見せることができ、彼は手描きアニメーションの最初の実践者であった可能性が指摘されています。,cc_news_2per_gemini_chunk_25,ダンス表記法,cc_news_2per_gemini_chunks
バランシンは、自身の『くるみ割り人形』においてシリアエフのオリジナル振付をどのように採用しましたか？,バランシンは、自身の『くるみ割り人形（Nutcracker）』の中に、アレクサンドル・シリアエフが手がけたオリジナルの振付を取り入れました。,cc_news_2per_gemini_chunk_25,バランシンの採用,cc_news_2per_gemini_chunks
『金平糖の精のソロ』で使われている、きらめくような独特な音色を出す楽器は何ですか？,その楽器は「チェレスタ」です。チャイコフスキーがフランスで耳にした珍しい楽器で、金平糖の精のソロにおいて、天上のようなきらめく音色を奏でます。,cc_news_2per_gemini_chunk_26,金平糖の精の楽器,cc_news_2per_gemini_chunks
チャイコフスキーはどのようにしてチェレスタを知り、それをどのように入手しましたか？,チャイコフスキーはフランスでこの珍しい楽器（チェレスタ）の音を聴いて知り、その後、基本的には秘密裏に自分のもとへ送らせることで入手しました。,cc_news_2per_gemini_chunk_26,チェレスタの入手経緯,cc_news_2per_gemini_chunks
バランシンの1954年の初演における予算と、クリスマスツリーに費やされた金額はいくらですか？,"1954年の初演においてバランシンには40,000ドルの予算が与えられましたが、アロフによると、そのうち25,000ドルがクリスマスツリーのためだけに費やされました。",cc_news_2per_gemini_chunk_27,予算とツリー支出,cc_news_2per_gemini_chunks
クリスマスツリーなしで公演ができるか尋ねられた際、バランシンは何と答えましたか？,ツリーなしで公演ができるか尋ねられた際、バランシンは「（このバレエは）ツリーそのものだ」と答え、ツリーが作品において不可欠な存在であることを示しました。,cc_news_2per_gemini_chunk_27,バランシンの発言,cc_news_2per_gemini_chunks
現在のニューヨーク・シティ・バレエ団のクリスマスツリーの仕様について教えてください。,現在のニューヨーク・シティ・バレエ団のクリスマスツリーは、重さが1トンあり、最大で41フィート（約12.5メートル）の高さに達します。,cc_news_2per_gemini_chunk_27,ツリーの現在の仕様,cc_news_2per_gemini_chunks
イワン・フセヴォロシスキーによる1892年の「くるみ割り人形」の衣装スケッチは、どのようなキャラクターのために描かれたものですか？,金平糖の精（Sugar Plum Fairy）の従者のために描かれたものです。このスケッチはピーター・コッパーズ（Peter Koppers）の提供によるものです。,cc_news_2per_gemini_chunk_28,衣装スケッチ,cc_news_2per_gemini_chunks
「くるみ割り人形」のキャバリアのヴァリエーションの初期の振付と、初演ダンサーのパヴェル・ゲルトに関する記述について教えてください。,振付の記録によると、このヴァリエーションは本来、果物や花、夢などを象徴する8人の女性の妖精の従者によって踊られていました。初演ダンサーのパヴェル・ゲルトは、自身で踊るには高齢すぎた可能性が指摘されています。,cc_news_2per_gemini_chunk_28,オリジナル振付と年齢,cc_news_2per_gemini_chunks
バランシンの「グラン・パ・ド・ドゥ」におけるトースライド（toe slide）では、主役のバレリーナはどのようなパフォーマンスを行いますか？,主役のバレリーナは、ポワント（つま先立ち）でアラベスクの姿勢を保ちながら、パートナーである王子に引かれてステージ上を滑るように進みます。,cc_news_2per_gemini_chunk_29,トースライドの動作,cc_news_2per_gemini_chunks
バランシンのグラン・パ・ド・ドゥに登場するトースライドの振付は、どこから取り入れられたものですか？,フリントンによると、バランシンはこのトースライドの振付を、イワノフ（Ivanov）によるオリジナルの振付から取り入れたとされています。,cc_news_2per_gemini_chunk_29,トースライドの起源,cc_news_2per_gemini_chunks
金平糖の精の王子の元の名前は何ですか？また、その名前の意味と由来について教えてください。,金平糖の精の王子の元の名前は「プリンス・コクリュシュ（Prince Coqueluche）」です。この名前はフランス語で「百日咳」を意味しており、おそらくトローチキャンディ（のど飴）を指していたと考えられています。,cc_news_2per_gemini_chunk_30,Prince Coqueluche,cc_news_2per_gemini_chunks
ニューヨーク・シティ・バレエ（NYCB）のユニティ・フェランとサイラス・ファーリーが、カリンスカの「ホットチョコレート」の衣装を着用している写真は誰が撮影したものですか？,この写真はポール・コルニック（Paul Kolnik）によって撮影されたもので、ニューヨーク・シティ・バレエ（New York City Ballet）から提供されています。,cc_news_2per_gemini_chunk_31,写真のクレジット,cc_news_2per_gemini_chunks
北京ダンスアカデミーの施設の特徴と、スタジオでの指導スタイルについて教えてください。,北京ダンスアカデミーには60室の広々としたダンススタジオがあります。指導スタイルとしては、生徒たちがそれぞれ個々に練習に取り組み、部屋の前方にいる教師たちが大声で修正点を呼びかけて指導する形式がとられています。,cc_news_2per_gemini_chunk_32,施設と指導スタイル,cc_news_2per_gemini_chunks
Pei Yu Mengのダンスにおける特徴と、彼女の練習ルーティンについて教えてください。,彼女は強いクラシックの基礎とクリーンなバレエのラインに加え、しなやかな身のこなしと非常に鋭い集中力を持っています。練習では、苦戦していたピルエットを一度マスターした後も、昼食の時間である12時になるまで何度もそのステップを繰り返し練習します。,cc_news_2per_gemini_chunk_32,ダンスの特徴と練習,cc_news_2per_gemini_chunks
Pei Yuはどこから、何歳の時に学校にやってきましたか？彼女の出身地と経歴について教えてください。,Pei Yuは10歳の時に、北京の近くにある省である河北省（Hebei）から学校にやってきました。彼女は新しいタイプの中国人バレエ学生の例として挙げられています。,cc_news_2per_gemini_chunk_33,Pei Yuの出身と経歴,cc_news_2per_gemini_chunks
Pei Yuの現在の年齢と、BDA（北京ダンスアカデミー）における現在の学年や状況について教えてください。,Pei Yuは現在20歳であり、BDAのプロフェッショナルプログラムの3年生に在籍しています。彼女は新しいタイプの中国人バレエ学生の代表例となっています。,cc_news_2per_gemini_chunk_33,現在の年齢と状況,cc_news_2per_gemini_chunks
北京ダンスアカデミー（BDA）の概要と、近年におけるバレエプログラムの進化について教えてください。,BDAは1954年に設立された国費によるプロ養成校です。伝統的にロシアスタイルのバレエで知られていましたが、2011年以降は、学生が中国の伝統舞踊や西洋のコンテンポラリーバレエ振付家の作品に対する知識を広げられるよう、大きな取り組みを行っています。,cc_news_2per_gemini_chunk_34,BDAの概要と進化,cc_news_2per_gemini_chunks
BDAのバレエプログラムの構成と、留学生の受け入れにおける主な要件は何ですか？,バレエプログラムは7年の下部部門と4年のプロ学士プログラムで構成されています。留学生の受け入れも行っていますが、授業の多くが中国語で行われるため、学術入学試験において中国語の語学力が測定されることから、留学生の在籍はあまり多くありません。,cc_news_2per_gemini_chunk_34,入学プロセスと留学生,cc_news_2per_gemini_chunks
BDAのバレエ学生の日常の訓練内容と、中国古典舞踊が果たす役割について教えてください。,学生は朝8時のワガノワメソッドによる厳格なクラスから始め、中国古典舞踊や解剖学などを夜9時まで学びます。中国古典舞踊は彼らのアイデンティティの大部分を占めており、その特徴である上半身の円運動などの独特なコーディネーションが、バレエ技術を補完する役割を果たしています。,cc_news_2per_gemini_chunk_34,日常訓練と中国古典舞踊,cc_news_2per_gemini_chunks
BDA（北京ダンスアカデミー）の年間公演は、学生のスカウトにおいてどのような重要性を持っていますか？,国際的なオーディションを通常受けない学生にとって、この公演は才能を見出される貴重な機会です。中国国立バレエ団を含む国内のバレエ団のディレクターが、新たな才能をスカウトするために公演を観に訪れます。,cc_news_2per_gemini_chunk_36,スカウトにおける重要性,cc_news_2per_gemini_chunks
BDAのリハーサル準備における厳格さや激しさは、どのような点に現れていますか？,代役がいない状態でリハーサルが行われ、4人のコーチが不完全な点をすべて指摘します。学生たちはスタミナ向上のために作品を2回通しで踊り、通しの合間にも妥協せず、難しい部分を熱心に練習します。,cc_news_2per_gemini_chunk_36,リハーサルの厳格さ,cc_news_2per_gemini_chunks
西洋のコンテンポラリー振付を導入したことは、中国のバレエダンサーにどのような影響を与えましたか？,導入当初は自由な動きや新しい動きへの適応に苦労しましたが、時間をかけてこれらのスタイルを学ぶことで、ダンサーの視野が新しい可能性へと広がり、中国のバレエダンサー全体の能力が向上しました。,cc_news_2per_gemini_chunk_36,コンテンポラリー導入の影響,cc_news_2per_gemini_chunks
BDAを卒業する生徒の年齢層と、卒業後の主な進路について教えてください。,BDAの卒業生の年齢は20歳から22歳で、西洋と比べてやや高めです。進路としては、最も有望な生徒のみが企業との契約を獲得し、その他の生徒はBDAや周辺のダンススクール、機関において教職やその他のダンス関連の職に就きます。,cc_news_2per_gemini_chunk_37,年齢と進路,cc_news_2per_gemini_chunks
コンペティションに対するBDAの方針と、そのようにしている理由を教えてください。,BDAはコンペティションに積極的に注力しない方針をとっています。その理由は、コンペティターの育成には個々の生徒に対して多大な注意を払う必要がある一方で、公演（パフォーマンス）は生徒全員を鼓舞することができるためです。,cc_news_2per_gemini_chunk_37,コンペティション方針,cc_news_2per_gemini_chunks
BDA卒業生の海外での活躍状況と、多くの生徒が共通して抱いている夢は何ですか？,卒業生の一部は海外で就職し、サンフランシスコ・バレエやABTなどのアメリカのカンパニーで活躍しています。また、多くの卒業生が共通して抱いている夢は、中国国立バレエ団（National Ballet of China）に入団することです。,cc_news_2per_gemini_chunk_37,海外活躍と将来の夢,cc_news_2per_gemini_chunks
フランク・アンデルセン氏は北京ダンスアカデミー（BDA）において、どのような経歴と役割を持っていますか？,元ロイヤル・デンマーク・バレエ団芸術監督のフランク・アンデルセン氏は、2002年からBDAのゲスト講師を務めており、2012年には教授職を授与されました。約23年間にわたり北京で活動し、中国におけるブルノンヴィル・スタイルの普及に貢献しています。,cc_news_2per_gemini_chunk_38,アンデルセン氏の経歴,cc_news_2per_gemini_chunks
北京ダンスアカデミー（BDA）の学生たちがこれまでに上演した、ブルノンヴィルのレパートリーにはどのような作品がありますか？,BDAの学生たちはこれまでに、『ナポリ』第3幕、『ラ・ヴェンタナ』、『コンサバトリー』などのブルノンヴィル作品を上演してきました。また、一部の学生は中国国立バレエ団による2015年の『ラ・シルフィード』公演にも出演しました。,cc_news_2per_gemini_chunk_38,上演レパートリー,cc_news_2per_gemini_chunks
フランク・アンデルセン氏の指導方法と、デンマークのマイム（パントマイム）における指導の重点について教えてください。,アンデルセン氏はレパートリーやデンマークのマイムを通じて指導を行い、「マイムを信じられるものにすること」を最も重視しています。若手ダンサーが過剰演技をしないよう、言葉で説明するだけでなく、自ら実演して見せる指導法を取り入れています。,cc_news_2per_gemini_chunk_38,指導方法とマイム,cc_news_2per_gemini_chunks
ABTのプリンシパルであるイザベラ・ボイルストンとジェームズ・ホワイトサイドは、どこでのツアー中にFacebook Liveセッションを行いましたか？,彼らはケネディ・センターでのツアー中に、スターバックスを片手にカメラの前に座り、Facebook Liveを通じてファンの質問に答えるセッションを行いました。,cc_news_2per_gemini_chunk_39,Facebook Live配信,cc_news_2per_gemini_chunks
