question,answer
アレクサンドル・シリアエフは、自身の振付をどのように記録しましたか？,シリアエフは、投影することでダンスの動きを表現できる連続した絵（手描きアニメーション）を用いて振付を記録しました。ダンス批評家のミンディ・アロフは、彼を「おそらく最初の手描きアニメーションの実践者」と評しています。
ジョージ・バランシンは、アレクサンドル・シリアエフのオリジナル振付をどのように活用しましたか？,ジョージ・バランシンは、自身が手がけた『くるみ割り人形（Nutcracker）』の中に、アレクサンドル・シリアエフによるオリジナルの振付を取り入れました。
「金平糖の精のソロ（Sugar Plum Fairy's solo）」で使われている、きらめくような音色を奏でる楽器は何ですか？,「金平糖の精のソロ」で使われている、きらめくような音色を奏でる楽器は「チェレスタ（celesta）」です。これはチャイコフスキーがフランスで耳にした珍しい楽器です。
チャイコフスキーはどのようにしてチェレスタを発見し、入手しましたか？,チャイコフスキーはフランスでこの珍しい楽器（チェレスタ）を聴いて発見しました。そして、基本的には秘密裏に自分のもとへ送らせることで入手しました。
1954年の初演において、バランシンに与えられた予算と、そのうちクリスマスツリーに費やされた金額はいくらですか？,"1954年の初演でバランシンに与えられた予算は40,000ドルで、そのうちクリスマスツリー単体に25,000ドルが費やされました。"
クリスマスツリーなしで公演を行えるか尋ねられた際、バランシンはどのように答えましたか？,ツリーなしで公演を行えるか尋ねられた際、バランシンは「（バレエは）ツリーそのものである」と答え、その重要性を表現しました。
現在使用されているニューヨーク・シティ・バレエ団のクリスマスツリーの重さと高さはどれくらいですか？,現在使用されているニューヨーク・シティ・バレエ団のクリスマスツリーは、重さが1トンあり、最大で41フィートの高さに達します。
『くるみ割り人形』におけるキャバリア（騎士）のヴァリエーションは、本来どのような構成で踊られる予定でしたか？,振付の記録によると、キャバリアのヴァリエーションは本来、果物や花、夢などを表す8人の女性の妖精（金平糖の精の従者）によって踊られる構成になっていました。
初演でキャバリア役を演じたパヴェル・ゲルトが、自身でヴァリエーションを踊らなかったのはなぜですか？,フリントン氏によると、この役を創り出したダンサーであるパヴェル・ゲルトは、当時高齢すぎて自身でヴァリエーションを踊ることができなかった可能性が高いためです。
バランシンのグラン・パ・ド・ドゥにおける「トースライド（toe slide）」とは、どのような動きですか？,主役のバレリーナがアラベスクのポーズを保ったまま、勇敢なプリンスに引かれてポワント（つま先）でステージ上を滑るように進む動きです。
バランシンのグラン・パ・ド・ドゥに見られるトースライドの振付は、歴史的にどのような起源を持っていますか？,フリントン（Fullington）によると、バランシンはこのトースライドの動きを、イワノフ（Ivanov）によるオリジナルの振付から取り入れたとされています。
金平糖の精のプリンスの元の名前と、その名前の意味や由来について教えてください。,元の名前は「プリンス・コクリュシュ（Prince Coqueluche）」です。この名前はフランス語で「百日咳」を意味しており、おそらくトローチ（のど飴）を指していたと考えられています。
カリンスカ（Karinska）の「ホットチョコレート」の衣装を着たニューヨーク・シティ・バレエ（NYCB）のダンサーと、その写真を撮影した写真家は誰ですか？,衣装を着ているダンサーはユニティ・フェラン（Unity Phelan）とサイラス・ファーリー（Silas Farley）であり、この写真を撮影したのは写真家のポール・コルニック（Paul Kolnik）です。
北京ダンスアカデミーの施設の特徴と、ペイ・ユー・モンが練習している演目について教えてください。,北京ダンスアカデミーには60の広々としたダンススタジオがあります。ペイ・ユー・モンはそのうちの1つのスタジオで、ヨルマ・エロ（Jorma Elo）の『Over Glow』という作品のトリッキーなステップを練習しています。
ペイ・ユー・モンのダンスの特徴と、練習に対する姿勢について教えてください。,彼女は強いクラシックの基礎とクリーンなバレエのラインに加え、しなやかな連動性と鋭い集中力を持ち、洗練された輝きのあるダンスが特徴です。また、苦戦していたピルエットを習得した後も、昼食の時間まで何度も繰り返し練習する熱心さを持っています。
Pei Yu（ペイ・ユー）の出身地と、彼女が何歳のときに学校に来たのか教えてください。,Pei Yu（ペイ・ユー）は、北京の近くにある河北省（Hebei）の出身です。彼女は10歳のときにこの学校にやってきました。
Pei Yu（ペイ・ユー）の現在の年齢やBDAでの状況、そして彼女がどのような存在とされているかについて教えてください。,Pei Yuは現在20歳で、BDAのプロフェッショナルプログラムの3年生です。彼女は、新しいタイプの中国人バレエ学生の代表例（手本）とされています。
北京ダンスアカデミー（BDA）の概要と、そのバレエプログラムの構成について教えてください。,BDAは1954年に設立された完全国費負担のプロ養成校で、4つの部門を擁しています。そのバレエプログラムは、7年間の下部組織（lower division）と、4年間のプロフェッショナル学士プログラムの2つで構成されています。
BDAのプロフェッショナルバレエプログラムの入学プロセスと、留学生の受け入れにおける要件について教えてください。,入学試験は非常に競争が激しく、16〜18歳の受験生が2日間の実技オーディションと学術試験に臨みます。留学生も出願できますが、学術試験で中国語の能力が測定され、授業の多くが中国語で行われるため、実際の受け入れ頻度は低いです。
BDAのバレエプログラムに在籍する学生の、典型的な1日のスケジュールやカリキュラムはどのようなものですか？,朝8時のワガノワメソッドによる厳格なクラスから始まり、中国古典舞踊、コンテンポラリー、舞踊史、解剖学などの授業やリハーサルが夜9時まで続くこともあります。クラスは少人数制で指導は厳しく、学生は学内の寮で生活しています。
BDAのバレエトレーニングにおいて、中国古典舞踊はどのように統合され、どのような効果をもたらしていますか？,中国古典舞踊はダンサーのアイデンティティとして重視されています。上半身の円運動（例：アティチュード・プロムナード中の頭の円運動）に焦点を当てた中国舞踊特有のコーディネーションを取り入れることで、バレエ技術を補完しています。
BDA（北京舞踊学院）の学生にとって、年間公演はスカウトの観点からどのような重要性を持っていますか？,BDAの学生は通常、国際的なオーディションを受けないため、年間公演は才能を見出される重要な機会です。中国国立バレエ団など、周辺の中国のバレエ団のディレクターが新しい才能をスカウトするためにこれらの公演を訪れます。
BDAのスタジオ・リハーサルにおける準備の厳しさと徹底ぶりについて教えてください。,リハーサルには代役がおらず、4人のコーチが些細な不完全さも見逃さずに指摘します。学生たちはスタミナ向上のために作品を2回通しで踊り、その合間にも結果に満足することなく、難しいセクションを細心の注意を払って熱心に練習します。
西洋のコンテンポラリー振付を学ぶことは、中国のバレエダンサーの能力にどのような影響を与えましたか？,導入当初は自由な動きや新しいスタイルへの適応に苦労しましたが、時間をかけて西洋の振付を学ぶことで、ダンサーたちの視野が広がり、総合的な能力が向上して新たな可能性が開かれるという影響を与えました。
BDAの卒業生の年齢層と、卒業後の主な進路について教えてください。,BDAの卒業生は20〜22歳と西洋に比べてやや高齢です。最も有望な学生だけがダンスカンパニーとの契約を獲得しますが、その他の学生はBDAや周辺のダンススクール、関連機関で指導職やその他のダンス関連の仕事に就きます。
コンクールとパフォーマンスに対する、BDAの教育方針はどのようなものですか？,BDAはコンクールに積極的な焦点を当てていません。Zou氏によると、コンクールの準備は個々の学生に多大な注意を払う必要があるのに対し、パフォーマンスは全校生徒を鼓舞し、励ますことができるという教育方針を持っています。
アメリカのカンパニーで活躍するBDA卒業生の実績と、多くの在校生が抱く国内での進路の夢について教えてください。,アメリカではサンフランシスコ・バレエのウェイ・ワンやワンティン・チャオ、ABTのジヤオ・ジャンやシュエラン・ルーが活躍しています。一方で、多くの在校生は国内の中国国立バレエ団（National Ballet of China）への入団を夢見ています。
フランク・アンデルセン氏の北京舞踊学院（BDA）における経歴と役割について教えてください。,アンデルセン氏は元ロイヤル・デンマーク・バレエ団の芸術監督で、2002年からBDAのゲストティーチャーを務めており、2012年には教授職を授与されました。約23年にわたる北京での活動を通じて、中国にブルノンヴィル・スタイルを定着させる重要な役割を果たしています。
北京舞踊学院（BDA）の学生たちがこれまでに演じたブルノンヴィルのレパートリーには、どのような作品がありますか？,BDAの学生はこれまでに『ナポリ』第3幕、『ラ・ヴェンタナ』、『コンセルヴァトワール』などのブルノンヴィル・バレエを踊ってきました。また、一部の学生は2015年に中国国立バレエ団が上演した『ラ・シルフィード』の公演にも出演しました。
フランク・アンデルセン氏の指導方法と、デンマークのマイム（パントマイム）に対する哲学について教えてください。,アンデルセン氏はレパートリーやマイムを通じて指導を行い、言葉で説明できない場合は自ら動いて見せる手法を取ります。哲学として「マイムを信じられるものにすること」を最も重視しており、過剰な演技を避け、ブルノンヴィル作品の持つ誠実さを表現することを目指しています。
イザベラ・ボイルストンとジェームズ・ホワイトサイドがFacebook LiveのQ&Aセッションで語った、お互いに共通する好きな食べ物や話題について教えてください。,二人は、パスタや日本のカレーといった食べ物への共通の愛、お互いのニックネームである「シンディ（Cindy）」の由来、そしてコンテンポラリーとクラシックの振付を覚えることの違いなどについて語り合いました。
イザベラ・ボイルストンが明かした、ケネディセンターでの最悪の思い出と、将来挑戦したい振付の夢は何ですか？,最悪の思い出は『ラ・バヤデール』第1幕の終わりにフェッテをしている最中に舞台上で転倒したことです。また、カーリー・レイ・ジェプセンの曲に合わせて、ホワイトサイドにアヴァンギャルドなバレエを振り付けるという夢を語りました。
ジョン・ノイマイヤーのバレエ『アンナ・カレーニナ』はどこの団体によって共同制作され、ボリショイやカナダ国立バレエではいつ初演されますか？,本作はハンブルク・バレエ団、カナダ国立バレエ団、ボリショイ・バレエ団の3団体による共同制作です。初演スケジュールは、ボリショイ・バレエ団が3月23日、カナダ国立バレエ団（NBoC）が11月を予定しています。なお、世界初演は昨年7月にハンブルク・バレエ団によって行われました。
ボリショイ公演の『アンナ・カレーニナ』で主役を演じるダンサーと、振付家ノイマイヤーがこの作品を着想したきっかけについて教えてください。,主役（タイトルロール）はボリショイのスターであるスヴェトラーナ・ザハロワが演じます。振付家ノイマイヤーがこのバレエの着想を得た最初のインスピレーションは、彼らが『椿姫（Lady of the Camellias）』で共に仕事をしていた際に、ザハロワ自身から得たものです。
Richmond Balletの「New Works Festival」において、参加する振付家たちに課されたユニークな制約は何ですか？,参加する4人の振付家は、それぞれダンサーとわずか25時間という限られた時間の中で、10〜15分のバレエ作品を創作しなければならないという制約が課されています。
Ballet Arizonaの「Today's Masters 2018」で上演される、芸術監督イブ・アンダーセン（Ib Andersen）の作品「Pelvis」の特徴について教えてください。,アンダーセンの「Pelvis」は、1950年代のダンスの動きや衣装を取り入れているほか、エルヴィス・プレスリー（Elvis Presley）への言及が含まれている点が特徴です。
サンフランシスコ・バレエが開催するジェローム・ロビンズ追悼公演の日程と、その公演の概要について教えてください。,サンフランシスコ・バレエによるジェローム・ロビンズ追悼公演は3月20日から25日まで開催されます。この公演は、ロビンズのバレエとブロードウェイにおけるキャリアを称えるもので、同バレエ団は彼の作風を「神秘的、ロマンチック、機知に富み、しびれるような」と表現しています。
サンフランシスコ・バレエのジェローム・ロビンズ追悼公演で上演される、4つの具体的な作品名は何ですか？,上演される4つの作品は、『ファンシー・フリー（Fancy Free）』、『オーパス19／ザ・ドリーマー（Opus 19/The Dreamer）』、『ケージ（The Cage）』、および『アザー・ダンス（Other Dances）』です。
グッゲンハイム美術館で開催される「Works & Process」イベントにおける、Reid and Harriet Designsの出演詳細について教えてください。,このイベントは3月25日から27日にかけて開催され、衣装デザインデュオのリード・バーテルムとハリエット・ユン（Reid and Harriet Designs）が登壇します。彼らはデザインとダンスを創造的に融合させたステージを披露します。
衣装デザインデュオ「Reid and Harriet Designs」の特徴と、過去の主なプロジェクトにはどのようなものがありますか？,彼らはデザインとダンスを創造的に融合させる活動で知られています。過去のプロジェクトには、昨年の夏に制作したジャスティン・ペックの衣装に基づく水着ラインや、11月に発表したデザイン主導の「くるみ割り人形（Nutcracker）」などがあります。
今回のショーにおいて、Reid and Harriet Designsはどのような振付師とコラボレーションし、誰がパフォーマンスを行いますか？,ラー・ルボヴィッチやパム・タノウィッツを含む多くの振付師とコラボレーションし、衣装をフィーチャーした短編作品を制作しました。また、ニューヨーク・シティ・バレエ団のプリンシパルであるラッセル・ジャンゼンを含むダンサーたちが、動くモデルとして出演します。
